# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.823923601353874346e+01 7.591817788209895923e+01 2.247286602320285098e+01 1.504298631235296213e+01 -1.028501066868169801e+04 -5.617607523033520010e+03 -1.801023261193520966e+03 1.753238119927950436e+02 1.166947482347582991e+04 -3.711403646815797424e+10 -4.534120504098585513e+01
1.905505686494637985e+01 6.225502535645431834e+01 2.266891795523260100e+01 4.269153143277304707e+01 -9.867864351710684787e+03 -5.680882195644570857e+03 -1.939210837994079156e+03 1.818965273884809619e+02 1.121713858029315816e+04 -3.417165300117091751e+10 -4.534120504098585513e+01
2.080827535295507680e+00 6.748482976379612808e+01 2.517839942588969393e+01 2.718759104455725151e+01 -9.531426126045535057e+03 -5.477986946530257228e+03 -1.942246821551566882e+03 1.490822792760291691e+02 1.132431366386356785e+04 -3.375325701214826584e+10 -4.534120504098585513e+01
1.182773573213437857e+01 6.642628817339378600e+01 3.026305325196881668e+01 2.663254780451121961e-01 -9.798518525780007622e+03 -5.688686678545084760e+03 -1.901893471589891305e+03 1.280993060011091700e+02 1.160785762933899787e+04 -3.265354064920425034e+10 -4.534120504098585513e+01
4.915507140002038255e+00 6.150686054726050855e+01 3.183967042445057061e+01 5.596195428348487155e+01 -1.011069638131876491e+04 -5.622791254224301156e+03 -1.741866759346449726e+03 1.397431139494703700e+02 1.192421415485401849e+04 -3.171220787362652206e+10 -4.534120504098585513e+01
1.825730494463222797e+01 8.640553252817429097e+01 6.174533094621581952e+00 6.567701841864442258e+01 -9.297143371471347564e+03 -5.546467921824654695e+03 -1.929518941070235314e+03 1.327488769962492370e+02 1.106835057102448081e+04 -3.009812952429128265e+10 -4.534120504098585513e+01
1.493400744372949696e+01 6.892265846620793468e+01 1.308658271450687138e+01 4.087940435266878580e+01 -9.963839873391028959e+03 -5.543425267642393919e+03 -1.939864223040639445e+03 1.824555184629888913e+02 1.171426394901512867e+04 -2.845831572954364014e+10 -4.534120504098585513e+01
1.041361459304427228e+01 6.162713606052606252e+01 1.429297062020803644e+01 1.254826442710535694e+01 -1.026287923058115666e+04 -5.743286922908482666e+03 -1.909963412261319945e+03 1.448307947035876282e+02 1.170618905056419317e+04 -2.679295734926688766e+10 -4.534120504098585513e+01
6.161421014706182753e+00 6.153255752292442793e+01 4.892103639899240797e+00 3.885022936711243435e+00 -9.399629665800704970e+03 -5.578264093181031058e+03 -1.891077510118617283e+03 1.687757242651570948e+02 1.109152537572215988e+04 -2.518092633675741959e+10 -4.534120504098585513e+01
7.848636613177505161e+00 8.102800401782435813e+01 4.838412947615587711e+00 5.395596478594943335e+01 -1.009917528870108617e+04 -5.661443796899124209e+03 -1.751879734024414120e+03 1.512430860822938996e+02 1.186030641796209420e+04 -2.408209547217926788e+10 -4.534120504098585513e+01
