# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
5.547100660626309576e-01 6.440732336684776627e+00 1.207733984788439052e+01 2.580614099592349248e+03 -4.083815145753055276e+03 8.583659135681291446e+03 -8.992039100898799006e+03 4.433669384537358383e+03 -9.331294435673972885e+02 -1.843849217412915421e+10 -3.959344711998390665e+01
1.226977278689591055e-01 7.266476999520924629e+00 1.326514160379599083e+01 2.564791743956272967e+03 -4.029418123273499077e+03 9.028112039484583875e+03 -9.175285487924773406e+03 4.442560037248672415e+03 -9.932975574263844010e+02 -1.816379753426459122e+10 -3.959344711998390665e+01
7.695778880146293410e-01 5.309396857261257985e+00 1.346281035234576251e+01 2.630971088938868888e+03 -3.973360236411323058e+03 8.538828530130002036e+03 -8.838773892800674730e+03 4.449439325628461120e+03 -9.279460704184988344e+02 -1.735363803251743317e+10 -3.959344711998390665e+01
3.514095370947487029e-01 7.844409385004992075e+00 1.147071453964495191e+01 2.544536464605537731e+03 -3.966979762250604836e+03 8.460017512379958134e+03 -9.170919461509565735e+03 4.548641505014560607e+03 -8.334097293431082107e+02 -1.626019121059227943e+10 -3.959344711998390665e+01
5.073225756208475934e-01 5.230157016457196661e+00 1.189976005553941896e+01 2.698915336414146623e+03 -4.279128484065150587e+03 8.728372029069549171e+03 -8.911908605976048420e+03 4.350368681113372077e+03 -9.636541081944161533e+02 -1.621792520206685257e+10 -3.959344711998390665e+01
1.284760871391426584e-01 4.713978243507370713e+00 1.273440539244555580e+01 2.672926829781249126e+03 -4.027957809206568072e+03 8.116530862765251186e+03 -9.058793105761538754e+03 4.844644792367449554e+03 -9.697499395562045947e+02 -1.578030585372595024e+10 -3.959344711998390665e+01
4.331012566898105876e-01 5.233841182851032947e+00 1.195223361977009269e+01 2.676116951989684821e+03 -4.036627331530546144e+03 8.258649733295402257e+03 -8.888322729491852442e+03 4.542081536013438381e+03 -9.594516391434702882e+02 -1.564992759623468399e+10 -3.959344711998390665e+01
7.513682366692119308e-01 6.738773726029236855e+00 1.331533623380847153e+01 2.679811072440696535e+03 -4.242697190472566035e+03 8.312422640889570175e+03 -9.059603771628462709e+03 4.775319812911380723e+03 -8.539979718113788749e+02 -1.552776300961340523e+10 -3.959344711998390665e+01
8.464808389287431512e-01 5.490370521373898249e+00 1.119415260679873647e+01 2.507040552200974162e+03 -4.454282265877403916e+03 8.967908230457505852e+03 -8.718765496649933993e+03 4.315535718489765713e+03 -9.749779737710390464e+02 -1.548847333295947266e+10 -3.959344711998390665e+01
1.185058718211333822e-01 6.021965937683094516e+00 1.266678916059531268e+01 2.670023607437757164e+03 -4.365382762037665998e+03 8.593391934189328822e+03 -8.550759384909264554e+03 4.547039494512212514e+03 -9.834475099548436674e+02 -1.441464476664503860e+10 -3.959344711998390665e+01
8.597199493618014055e-01 6.920178589876843311e+00 1.302177618104114032e+01 2.552183021626913614e+03 -4.118373429107483389e+03 8.154221079931321583e+03 -8.621484201143342943e+03 4.829631136057450931e+03 -9.722239136994456885e+02 -1.413576877444264030e+10 -3.959344711998390665e+01
7.241490845890522499e-01 7.801187925806507550e+00 1.123037506950795716e+01 2.616807091403293725e+03 -4.165682015596391466e+03 8.458381096767290728e+03 -8.765902359876869014e+03 4.309457770580311262e+03 -8.520596219202291195e+02 -1.411325923835880661e+10 -3.959344711998390665e+01
9.965470957162003707e-01 5.634290144215026608e+00 1.238896970073625070e+01 2.535420033842581233e+03 -4.070518438261852225e+03 8.232704677896017529e+03 -8.876399591864284957e+03 4.675976526904623825e+03 -8.117701908477350798e+02 -1.406499324101523590e+10 -3.959344711998390665e+01
